date,price
9/1/1969,3.35
10/1/1969,3.35
11/1/1969,3.35
12/1/1969,3.35
1/1/1970,3.35
2/1/1970,3.35
3/1/1970,3.35
4/1/1970,3.35
5/1/1970,3.35
6/1/1970,3.35
7/1/1970,3.31
8/1/1970,3.31
9/1/1970,3.31
10/1/1970,3.31
11/1/1970,3.31
12/1/1970,3.56
1/1/1971,3.56
2/1/1971,3.56
3/1/1971,3.56
4/1/1971,3.56
5/1/1971,3.56
6/1/1971,3.56
7/1/1971,3.56
8/1/1971,3.56
9/1/1971,3.56
10/1/1971,3.56
11/1/1971,3.56
12/1/1971,3.56
1/1/1972,3.56
2/1/1972,3.56
3/1/1972,3.56
4/1/1972,3.56
5/1/1972,3.56
6/1/1972,3.56
7/1/1972,3.56
8/1/1972,3.56
9/1/1972,3.56
10/1/1972,3.56
11/1/1972,3.56
12/1/1972,3.56
1/1/1973,3.56
2/1/1973,3.56
3/1/1973,3.56
4/1/1973,3.56
5/1/1973,3.56
6/1/1973,3.56
7/1/1973,3.56
8/1/1973,4.31
9/1/1973,4.31
10/1/1973,4.31
11/1/1973,4.31
12/1/1973,4.31
1/1/1974,10.11
2/1/1974,10.11
3/1/1974,10.11
4/1/1974,10.11
5/1/1974,10.11
6/1/1974,10.11
7/1/1974,10.11
8/1/1974,10.11
9/1/1974,10.11
10/1/1974,11.16
11/1/1974,11.16
12/1/1974,11.16
1/1/1975,11.16
2/1/1975,11.16
3/1/1975,11.16
4/1/1975,11.16
5/1/1975,11.16
6/1/1975,11.16
7/1/1975,11.16
8/1/1975,11.16
9/1/1975,11.16
10/1/1975,11.16
11/1/1975,11.16
12/1/1975,11.16
1/1/1976,11.16
2/1/1976,12.03
3/1/1976,12.1
4/1/1976,12.17
5/1/1976,12.17
6/1/1976,12.17
7/1/1976,12.17
8/1/1976,12.17
9/1/1976,13.9
10/1/1976,13.9
11/1/1976,13.9
12/1/1976,13.9
1/1/1977,13.9
2/1/1977,13.9
3/1/1977,13.9
4/1/1977,13.9
5/1/1977,13.9
6/1/1977,13.9
7/1/1977,13.9
8/1/1977,14.85
9/1/1977,14.85
10/1/1977,14.85
11/1/1977,14.85
12/1/1977,14.85
1/1/1978,14.85
2/1/1978,14.85
3/1/1978,14.85
4/1/1978,14.85
5/1/1978,14.85
6/1/1978,14.85
7/1/1978,14.85
8/1/1978,14.85
9/1/1978,14.85
10/1/1978,14.85
11/1/1978,14.85
12/1/1978,14.85
1/1/1979,14.85
2/1/1979,15.85
3/1/1979,15.85
4/1/1979,15.85
5/1/1979,18.1
6/1/1979,19.1
7/1/1979,21.75
8/1/1979,26.5
9/1/1979,28.5
10/1/1979,29
11/1/1979,31
12/1/1979,32.5
1/1/1980,32.5
2/1/1980,37
3/1/1980,38
4/1/1980,39.5
5/1/1980,39.5
6/1/1980,39.5
7/1/1980,39.5
8/1/1980,38
9/1/1980,36
10/1/1980,36
11/1/1980,36
12/1/1980,37
1/1/1981,38
2/1/1981,38
3/1/1981,38
4/1/1981,38
5/1/1981,38
6/1/1981,36
7/1/1981,36
8/1/1981,36
9/1/1981,36
10/1/1981,35
11/1/1981,36
12/1/1981,35
1/1/1982,33.85
2/1/1982,31.56
3/1/1982,28.48
4/1/1982,33.45
5/1/1982,35.93
6/1/1982,35.07
7/1/1982,34.16
8/1/1982,33.95
9/1/1982,35.63
10/1/1982,35.68
11/1/1982,34.15
12/1/1982,31.72
1/1/1983,31.19
2/1/1983,28.95
3/1/1983,28.82
4/1/1983,30.61
5/1/1983,30
6/1/1983,31
7/1/1983,31.66
8/1/1983,31.91
9/1/1983,31.11
10/1/1983,30.41
11/1/1983,29.84
12/1/1983,29.24
1/1/1984,29.69
2/1/1984,30.145
3/1/1984,30.761
4/1/1984,30.618
5/1/1984,30.52
6/1/1984,29.967
7/1/1984,28.752
8/1/1984,29.25
9/1/1984,29.311
10/1/1984,28.765
11/1/1984,28.098
12/1/1984,25.429
1/1/1985,25.641
2/1/1985,27.271
3/1/1985,28.238
4/1/1985,28.805
5/1/1985,27.623
6/1/1985,27.143
7/1/1985,27.329
8/1/1985,27.755
9/1/1985,28.289
10/1/1985,29.538
11/1/1985,30.813
12/1/1985,27.228
1/1/1986,22.945
2/1/1986,15.442
3/1/1986,12.618
4/1/1986,12.847
5/1/1986,15.444
6/1/1986,13.469
7/1/1986,11.575
8/1/1986,15.092
9/1/1986,14.913
10/1/1986,14.852
11/1/1986,15.207
12/1/1986,16.076
1/1/1987,18.656
2/1/1987,17.726
3/1/1987,18.305
4/1/1987,18.643
5/1/1987,19.415
6/1/1987,20.034
7/1/1987,21.355
8/1/1987,20.274
9/1/1987,19.526
10/1/1987,19.848
11/1/1987,18.92
12/1/1987,17.241
1/1/1988,17.16
2/1/1988,16.765
3/1/1988,16.217
4/1/1988,17.875
5/1/1988,17.438
6/1/1988,16.53
7/1/1988,15.498
8/1/1988,15.524
9/1/1988,14.467
10/1/1988,13.798
11/1/1988,13.977
12/1/1988,16.266
1/1/1989,17.983
2/1/1989,17.826
3/1/1989,19.445
4/1/1989,21.04
5/1/1989,20.032
6/1/1989,20.005
7/1/1989,19.644
8/1/1989,18.522
9/1/1989,19.594
10/1/1989,20.091
11/1/1989,19.82
12/1/1989,21.088
1/1/1990,22.641
2/1/1990,22.108
3/1/1990,20.418
4/1/1990,18.582
5/1/1990,18.237
6/1/1990,16.871
7/1/1990,18.638
8/1/1990,27.174
9/1/1990,33.687
10/1/1990,35.922
11/1/1990,32.3
12/1/1990,27.337
1/1/1991,24.959
2/1/1991,20.523
3/1/1991,19.86
4/1/1991,20.823
5/1/1991,21.24
6/1/1991,20.195
7/1/1991,21.42
8/1/1991,21.688
9/1/1991,21.857
10/1/1991,23.228
11/1/1991,22.465
12/1/1991,19.517
1/1/1992,18.82
2/1/1992,18.995
3/1/1992,18.916
4/1/1992,20.243
5/1/1992,20.94
